time,mag,lat,lon,depth,place
2002-03-03 12:08,7.4,36.502,70.482,225.6,"51 km SW of Jurm, Afghanistan"
2002-01-02 17:22,7.2,-17.6,167.856,21.0,"50 km WNW of Port-Vila, Vanuatu"
2001-12-12 14:02,7.1,-42.813,124.688,10.0,south of Australia
2001-11-14 09:26,7.8,35.946,90.541,10.0,"Southern Qinghai, China"
2001-10-31 09:10,7.0,-5.912,150.196,33.0,"40 km S of Kimbe, Papua New Guinea"
2001-10-19 03:28,7.5,-4.102,123.907,33.0,"155 km E of Kendari, Indonesia"
2001-10-12 15:02,7.0,12.686,144.98,37.0,"69 km SSE of Inarajan Village, Guam"
2001-08-21 06:52,7.1,-36.813,-179.575,33.0,"295 km NE of Gisborne, New Zealand"
2001-07-07 09:38,7.6,-17.543,-72.077,33.0,"51 km SW of Punta de Bombón, Peru"
2001-06-23 20:33,8.4,-16.265,-73.641,33.0,"6 km SSW of Atico, Peru"
2001-06-03 02:41,7.2,-29.666,-178.633,178.1,"Kermadec Islands, New Zealand"
2001-02-24 07:23,7.1,1.271,126.249,35.0,"137 km WNW of Ternate, Indonesia"
2001-02-13 19:28,7.4,-4.68,102.562,36.0,"102 km SSE of Bengkulu, Indonesia"
2001-01-26 03:16,7.7,23.419,70.232,16.0,"17 km NW of Bhach?u, India"
